pgc,Name,J2000,UGC/AGC,Alt_Name,RAJ,DeJ,Ty,r23.5,r83L,mu_out,ell,e_ell,PA,e_PA,tf,Wtf,e_Wtf,m_obs,e_m,m_c,M_I,e_MI,gamma,inc,Vcmb,Vpec,e_Vp,Dist,Vp_b,e_Vpb,D_bias,Gp_ID,O/H,Theta,Cluster,mem,RAJg,DeJg,Vcmbg,e_Vg,Ng,Na,Vpg,e_Vpg,Dg,Vpg_b,e_Vpgb,Dg_b,Int_ID
4,PGC000004,J000003.4+230516,331060,478-009b,"00 00 03.4","+23 05 15",5,24.7,21.7,23.43,0.762,0.009,64,2,,2.182,0.011,15.20,0.05,14.63,-18.44,0.10,0.50,78.4,4113,160,951,3909,-573,721,4642,40353,H,,,,"00 02 12.0","+22 57 04",4069,1,2,5,187,697,3882,-614,523,4683,
55,UGC12898,J000037.4+333604,12898,,"00 00 37.4","+33 36 02",5,21.4,20.5,24.27,0.646,0.035,11,5,,2.270,0.011,15.23,0.05,14.81,-18.49,0.09,0.50,70.6,4456,-1310,1348,5848,-1347,1376,5885,40612,H,,,,"00 02 09.9","+33 53 43",4538,2,1,3,-1310,1348,5848,-1347,1376,5885,
70,UGC12900,J000056.0+202017,12900,456-015,"00 00 55.9","+20 20 17",5,46.3,37.4,24.30,0.820,0.009,110,1,,2.618,0.004,13.73,0.04,12.90,-21.16,0.14,1.00,82.8,6452,-2104,1585,8528,-1376,1657,7800,41035,H,,,,"00 00 47.2","+20 11 54",6424,2,1,2,-2104,1585,8528,-1376,1657,7800,
73,ESO349-017,J000058.6-333643,36544,"349 G 17","00 00 57.7","-33 36 47",5,35.3,29.3,25.41,0.219,0.110,120,12,,2.336,0.097,12.91,0.05,12.79,-21.35,0.08,1.00,39.0,6639,3720,1240,2919,3991,1689,2648,,H,,,,,,,,,,,,,,,,
76,UGC12901,J000058.9+285442,12901,499-035,"00 00 58.9","+28 54 41",3,41.5,32.1,24.30,0.570,0.042,46,1,,2.611,0.011,12.84,0.02,12.56,-21.59,0.06,1.00,67.1,6559,219,1174,6462,308,1444,6373,40609,H,,,,"23 58 47.3","+29 22 08",6681,6,1,3,219,1174,6462,308,1444,6373,
124,UGC12913,J000136.6+033020,12913,M+001018,"00 01 36.7","+03 30 21",5,38.0,37.3,23.37,0.817,0.009,5,1,,2.384,0.008,14.62,0.08,13.93,-19.97,0.15,0.86,82.5,5979,89,1298,5890,125,1302,5854,,H,,,,,,,,,,,,,,,,
145,ESO409-004,J000157.2-275958,36558,"409 G  4","00 01 57.6","-27 59 53",3,33.4,29.4,23.71,0.614,0.015,56,1,,2.584,0.015,13.78,0.05,13.53,-21.38,0.08,1.00,70.3,9427,195,1763,9232,470,1440,8957,,O,,,,,,,,,,,,,,,,
165,UGC12920,J000223.1+271238,12920,478-014,"00 02 23.0","+27 12 38",4,33.9,28.5,24.14,0.737,0.020,49,1,,2.449,0.012,14.24,0.04,13.61,-20.72,0.12,1.00,76.7,7271,860,1346,6411,851,1477,6420,,H,,,,,,,,,,,,,,,,
176,PGC000176,J000234.8-034238,400001,M-101024,"00 02 34.7","-03 42 37",4,31.6,23.2,23.83,0.439,0.094,0,4,,2.598,0.034,12.90,0.02,12.67,-21.29,0.06,1.00,56.6,6110,-988,1545,7098,-357,1339,6467,,H,,,,,,,,,,,,,,,,
179,PGC000179,J000239.9+084415,100002,408-013,"00 02 39.8","+08 44 13",3,32.7,22.1,24.58,0.734,0.012,23,1,,2.474,0.021,13.61,0.02,13.06,-20.53,0.11,1.00,79.7,5178,-96,1138,5274,-140,1072,5318,,H,,,,,,,,,,,,,,,,
186,UGC00003,J000246.4+185311,3,456-021,"00 02 46.3","+18 53 09",1,44.8,34.3,24.59,0.558,0.027,81,3,,2.692,0.007,12.66,0.04,12.43,-21.98,0.07,1.06,66.3,7533,398,1204,7135,874,1362,6659,,H,,,,,,,,,,,,,,,,
201,UGC00004,J000257.0+041234,4,408-014,"00 02 56.9","+04 12 32",4,26.2,19.4,24.10,0.374,0.027,157,2,,2.577,0.017,13.47,0.03,13.28,-21.33,0.06,1.00,51.9,8272,-498,1683,8770,269,2143,8003,,H,,,,,,,,,,,,,,,,
205,UGC00005,J000305.6-015450,5,382-021,"00 03 05.6","-01 54 51",4,47.0,31.5,24.08,0.505,0.031,45,3,,2.715,0.017,12.26,0.02,12.00,-22.23,0.06,1.15,61.2,6933,-1053,1393,7986,-190,1410,7123,,H,,,,,,,,,,,,,,,,
218,NGC7814,J000315.0+160844,8,N7814,"00 03 14.8","+16 08 44",2,200.2,105.0,23.62,0.508,0.020,134,0,,2.708,0.005,9.18,0.02,8.94,-19.60,0.06,0.71,62.7,695,-1016,251,1527,-1025,309,1536,30004,H,,,,"00 08 46.3","+16 08 44",511,1,1,7,-1015,251,1526,-1025,309,1536,1211
226,UGC00010,J000320.5+083709,10,408-015,"00 03 20.5","+08 37 07",5,42.0,45.2,23.91,0.189,0.073,175,12,,2.592,0.077,12.69,0.07,12.48,-22.88,0.08,1.30,36.2,11584,5241,2149,6343,6039,1608,5545,,H,,,,,,,,,,,,,,,,
250,UGC00014,J000335.0+231203,14,478-019,"00 03 35.1","+23 12 01",5,54.2,49.2,23.93,0.402,0.009,32,2,,2.605,0.008,12.33,0.05,12.00,-22.22,0.08,1.15,53.9,6908,1533,977,5375,1510,980,5398,,H,,,,,,,,,,,,,,,,
265,PGC000265,J000351.7-504559,400737,D0003-21,"00 03 51.5","-50 46 01",4,20.4,18.7,23.80,0.618,0.022,110,3,,2.394,0.043,14.97,0.04,14.58,-20.81,0.10,1.00,68.8,11708,3567,2158,8141,2741,2051,8967,,O,,,,,,,,,,,,,,,,
279,NGC7817,J000358.8+204506,19,N7817,"00 03 59.0","+20 45 07",4,106.1,67.6,23.95,0.722,0.024,47,1,,2.590,0.006,10.65,0.02,10.16,-20.60,0.08,1.00,75.7,1960,-783,402,2201,-586,480,2004,40255,H,,,,"00 08 56.0","+14 09 57",1418,1,1,8,-783,402,2201,-585,479,2003,1178
280,ESO193-013,J000401.3-512339,20018,"193 G 13","00 04 00.7","-51 23 35",3,32.4,21.8,23.66,0.642,0.041,169,2,,2.555,0.030,13.54,0.03,13.27,-21.83,0.07,1.01,72.4,10310,2835,1613,7475,2497,1981,7813,,O,,,,,,,,,,,,,,,,
291,PGC000291,J000414.0-511325,400738,DC0003-6,"00 04 13.9","-51 13 25",-2,12.1,9.3,24.53,0.419,0.027,156,2,,2.447,0.037,15.20,0.05,15.03,-20.21,0.09,0.96,56.2,10944,239,2611,10705,-404,3085,11348,,O,,,,,,,,,,,,,,,,
292,ESO193-014,J000415.0-503846,20019,"193 G 14","00 04 14.6","-50 38 48",3,28.6,21.1,23.48,0.420,0.004,27,1,,2.708,0.032,13.29,0.03,13.15,-22.23,0.06,1.15,56.2,11682,179,2317,11503,1580,1991,10102,,O,,,,,,,,,,,,,,,,
296,UGC00023,J000413.0+104726,23,433-021,"00 04 13.0","+10 47 25",3,34.1,25.1,24.59,0.382,0.023,31,3,,2.641,0.013,12.89,0.03,12.62,-21.82,0.07,1.01,53.4,7616,304,1319,7312,1326,1280,6290,,H,,,,,,,,,,,,,,,,
298,UGC00024,J000414.7+223518,24,478-020,"00 04 14.7","+22 35 16",5,28.7,37.6,23.12,0.411,0.096,46,14,,2.299,0.039,13.98,0.07,13.67,-19.39,0.10,0.62,54.6,4097,217,1026,3852,-659,760,4728,40353,H,,,,"00 02 12.0","+22 57 04",4069,1,2,5,187,697,3882,-614,523,4683,
301,UGC00025,J000425.0+061039,25,M+101020,"00 04 25.1","+06 10 40",5,28.1,21.0,23.83,0.732,0.032,126,2,,2.425,0.016,14.17,0.03,13.52,-19.93,0.11,0.85,76.3,4712,-794,1214,5634,-752,1167,5592,40564,H,,,,"00 05 25.3","+07 39 46",4840,1,1,4,-794,1214,5634,-752,1167,5592,
305,UGC00027,J000429.2+055046,27,408-020,"00 04 29.1","+05 50 44",5,42.6,43.0,24.33,0.507,0.032,132,3,,2.354,0.013,13.20,0.06,12.84,-19.36,0.10,0.61,61.3,2754,-471,710,3208,-707,867,3444,40948,H,,,,"00 04 43.0","+05 46 05",2737,2,1,3,-471,710,3208,-707,867,3444,
353,UGC00033,J000457.8+050724,33,408-023,"00 04 57.8","+05 07 23",0,32.9,25.4,24.08,0.290,0.029,165,2,*,,,12.88,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,NGC7824,J000506.2+065512,34,N7824,"00 05 06.2","+06 55 12",2,56.1,35.7,23.72,0.318,0.034,147,6,,2.787,0.019,11.62,0.02,11.44,-22.43,0.06,1.22,48.3,5778,-251,1032,6156,325,957,5580,41014,H,,,,"00 05 38.9","+07 41 49",5905,1,2,4,-399,822,6304,173,778,5732,
366,UGC00036,J000513.9+064619,36,408-026,"00 05 13.8","+06 46 19",1,45.7,26.6,23.98,0.556,0.054,16,1,,2.714,0.034,12.33,0.02,12.06,-21.81,0.06,1.00,66.1,5940,-592,1334,6497,-31,1297,5936,41014,H,,,,"00 05 38.9","+07 41 49",5905,1,2,4,-399,822,6304,173,778,5732,
367,NGC7821,J000516.6-162835,400060,N7821,"00 05 16.6","-16 28 36",6,43.8,27.5,23.21,0.675,0.046,114,4,*,,,12.29,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,ESO193-019,J000529.0-501613,20033,"193 G 19","00 05 28.2","-50 16 12",5,36.1,27.1,24.94,0.191,0.120,65,50,,2.752,0.134,12.54,0.05,12.45,-22.62,0.06,1.29,36.4,10185,-1015,5947,11200,2937,4742,7248,,O,,,,,,,,,,,,,,,,
383,ESO193-018,J000529.2-493713,20034,"193 G 18","00 05 28.2","-49 37 00",3,34.5,25.5,22.92,0.505,0.023,84,1,,2.707,0.015,13.01,0.03,12.83,-22.31,0.06,1.18,62.5,10490,588,1710,9902,951,1518,9539,,O,,,,,,,,,,,,,,,,
393,UGC00039,J000534.3+533753,39,,"00 05 34.5","+53 37 51",5,34.3,25.8,23.72,0.523,0.064,11,4,*,,,13.33,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,UGC00040,J000548.4+272658,40,478-024,"00 05 48.4","+27 26 56",3,37.6,26.4,23.56,0.410,0.018,108,19,,2.635,0.010,12.84,0.03,12.59,-21.74,0.07,1.00,55.5,7189,166,1262,7096,365,1444,6897,40808,H,,,,"00 05 31.6","+27 29 33",7262,2,2,3,976,821,6286,1068,887,6194,
431,UGC00041,J000556.0+222933,41,M+401022,"00 05 56.0","+22 29 31",5,27.8,27.5,23.39,0.694,0.009,30,2,,2.391,0.007,14.55,0.05,13.96,-20.05,0.11,0.90,73.8,6250,161,1298,6089,124,1341,6126,,H,,,,,,,,,,,,,,,,
511,UGC00051,J000640.3+050648,51,408-031,"00 06 40.3","+05 06 48",4,28.3,20.5,24.52,0.335,0.024,38,5,,2.560,0.014,13.12,0.03,12.95,-20.54,0.06,1.00,48.9,5013,-2141,1357,7103,-1544,1468,6506,40545,H,,,,"00 04 31.5","+05 25 30",4962,3,1,4,-2141,1357,7103,-1544,1468,6506,
517,UGC00053,J000650.3+191919,53,456-031,"00 06 50.3","+19 19 17",4,17.9,21.8,24.15,0.161,0.011,95,11,,2.407,0.023,14.42,0.06,14.26,-20.15,0.08,0.94,33.3,7543,118,1665,7425,685,1678,6858,,H,,,,,,,,,,,,,,,,
524,PGC000524,J000647.8+045612,100040,408-033,"00 06 47.7","+04 56 13",4,22.7,19.2,24.12,0.300,0.016,15,4,,2.405,0.013,13.90,0.05,13.71,-19.77,0.09,0.78,46.1,4927,-815,1227,5742,-731,1191,5658,,H,,,,,,,,,,,,,,,,
526,ESO193-026,J000652.7-502454,20073,"193 G 26","00 06 52.7","-50 24 53",-2,16.7,13.4,25.37,0.394,0.049,89,72,,2.389,0.051,14.81,0.04,14.65,-20.27,0.09,0.99,54.3,9508,1993,2129,7515,960,2105,8548,,O,,,,,,,,,,,,,,,,
559,PGC000559,J000711.6+134607,100044,433-023,"00 07 11.7","+13 45 59",3,24.0,21.3,23.83,0.717,0.038,158,2,,2.274,0.020,14.99,0.05,14.42,-19.12,0.11,0.51,78.2,5056,-143,1249,5199,-343,1109,5399,,H,,,,,,,,,,,,,,,,
564,NGC0001,J000715.8+274229,57,"N   1","00 07 15.9","+27 42 28",3,35.3,25.8,24.37,0.467,0.013,106,5,,2.539,0.008,12.81,0.02,12.53,-20.61,0.07,1.00,59.7,4218,-877,968,5095,-1092,866,5310,,H,,,,,,,,,,,,,,,,
567,NGC0002,J000717.1+274042,59,"N   2","00 07 17.1","+27 40 40",2,,,,,,,,,2.590,0.013,12.88,,12.61,-21.72,0.12,1.00,60.0,7211,1667,1076,5595,1609,1110,5653,40808,H,,,,"00 05 31.6","+27 29 33",7262,2,2,3,976,821,6286,1068,887,6194,
569,NGC7831,J000719.3+323632,60,N7831,"00 07 19.5","+32 36 32",3,57.1,39.8,23.95,0.689,0.059,42,6,,2.671,0.009,12.09,0.02,11.75,-21.67,0.07,1.00,75.9,4750,-631,937,5435,-566,745,5370,40309,H,,,,"00 08 04.1","+32 49 51",4804,3,1,3,-631,937,5435,-565,745,5369,
608,NGC7836,J000801.6+330415,65,N7836,"00 08 01.6","+33 04 13",3,28.5,15.5,24.08,0.336,0.061,132,2,,2.610,0.041,12.42,0.02,12.24,-21.04,0.06,1.00,49.7,4571,-1083,1301,5565,-1167,1163,5649,40218,H,,,,"00 10 14.3","+33 14 22",4482,1,4,5,-404,483,4886,-733,471,5215,
617,UGC00068,J000810.2+270014,68,478-029,"00 08 10.2","+27 00 13",3,24.1,17.3,24.09,0.345,0.118,105,18,,2.473,0.061,13.28,0.02,13.05,-21.62,0.08,1.00,50.5,8438,3260,1562,5178,2693,1340,5745,,H,,,,,,,,,,,,,,,,
619,UGC00069,J000810.9+273141,69,478-030,"00 08 10.9","+27 31 39",5,34.1,30.4,23.50,0.282,0.031,48,4,,2.360,0.022,13.16,0.06,12.93,-20.21,0.10,0.96,44.6,4304,807,787,3415,-94,760,4316,40232,H,,,,"00 10 20.2","+26 06 51",4222,1,5,7,-64,438,4286,-682,420,4904,
624,ESO111-014,J000818.7-593056,20096,"111 G 14","00 08 18.2","-59 30 53",5,41.8,39.9,23.67,0.453,0.033,160,4,*,,,12.89,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,NGC0007,J000820.9-295459,20097,"N   7","00 08 21.3","-29 55 03",5,71.6,63.9,24.90,0.779,0.049,150,1,,2.199,0.013,12.99,0.04,12.54,-17.87,0.09,0.50,79.6,1212,-397,389,1609,-442,391,1654,,H,,,,,,,,,,,,,,,,
634,NGC0010,J000834.5-335130,20098,"N  10","00 08 33.2","-33 51 29",5,69.9,51.6,23.92,0.455,0.019,25,2,,2.808,0.007,11.33,0.02,11.15,-22.95,0.06,1.30,57.7,6535,-1027,1148,7562,-1329,1097,7864,,H,,,,,,,,,,,,,,,,
641,ESO193-030,J000840.1-503710,20099,"193 G 30","00 08 39.9","-50 37 05",5,25.0,19.5,24.11,0.733,0.014,125,1,,2.436,0.031,14.67,0.04,14.11,-20.89,0.12,1.00,76.4,9837,2172,1820,7665,1625,1783,8212,,O,,,,,,,,,,,,,,,,
644,UGC00076,J000849.2+243225,76,M+401029,"00 08 49.3","+24 32 24",3,26.6,30.8,24.06,0.693,0.007,134,2,,2.286,0.011,14.80,0.07,14.35,-18.79,0.11,0.50,76.2,4238,-1020,1205,5242,-1386,1164,5608,40232,H,,,,"00 10 20.2","+26 06 51",4222,1,5,7,-64,438,4286,-682,420,4904,
650,NGC0013,J000847.7+332600,77,"N  13","00 08 47.7","+33 25 57",3,78.7,48.3,22.91,0.768,0.017,53,0,,2.651,0.004,11.79,0.02,11.29,-21.99,0.10,1.07,83.1,4489,376,722,4106,-105,952,4587,40218,H,,,,"00 10 14.3","+33 14 22",4482,1,4,5,-404,483,4886,-733,471,5215,
654,UGC00079,J000904.4+253707,79,478-032,"00 09 04.4","+25 37 05",5,31.9,41.2,23.96,0.284,0.026,84,5,,2.400,0.020,13.73,0.14,13.52,-19.62,0.16,0.72,44.8,3999,-953,1192,5175,-1337,1107,5559,40232,H,,,,"00 10 20.2","+26 06 51",4222,1,5,7,-64,438,4286,-682,420,4904,
659,ESO349-033,J000903.4-325451,20103,"349 G 33","00 09 04.2","-32 54 54",3,39.2,25.7,23.84,0.711,0.026,20,1,,2.624,0.009,13.03,0.03,12.71,-21.39,0.08,1.00,77.7,6552,-706,1304,7258,-1245,1242,7797,,O,,,,,,,,,,,,,,,,
690,NGC0022,J000948.2+274956,86,"N  22","00 09 48.2","+27 49 55",3,39.2,31.9,24.50,0.305,0.055,151,6,,2.696,0.033,12.61,0.03,12.42,-22.09,0.06,1.10,47.2,7980,-83,1630,7962,672,1687,7207,40702,H,,,,"00 10 17.0","+28 12 23",7879,2,3,5,4836,389,3043,5017,381,2862,
695,IC1532,J000953.3-642218,20112,I1532,"00 09 51.4","-64 22 18",5,52.7,47.7,24.10,0.710,0.022,74,0,,2.250,0.066,13.42,0.05,13.01,-18.15,0.09,0.50,74.8,1720,-692,805,2394,-828,924,2530,30012,O,,,,"00 15 24.1","-64 06 52",1702,28,1,2,-692,805,2394,-828,924,2530,1031
698,NGC0023,J000953.4+255525,89,"N  23","00 09 53.3","+25 55 26",3,75.5,46.7,24.08,0.305,0.080,170,10,,2.709,0.047,10.82,0.03,10.67,-22.47,0.06,1.23,47.2,4226,490,892,3732,-89,1077,4311,40232,H,,,,"00 10 20.2","+26 06 51",4222,1,5,7,-64,438,4286,-682,420,4904,
701,NGC0024,J000956.5-245747,20114,"N  24","00 09 56.3","-24 57 53",5,172.7,126.0,24.32,0.742,0.004,46,1,,2.316,0.004,10.23,0.04,9.73,-17.66,0.10,0.50,77.0,252,-38,15,69,-38,18,69,30011,H,,,,"00 15 24.1","-31 57 31",31,1,1,13,-37,14,68,-38,18,69,355
707,UGC00092,J001002.0+281236,92,499-059,"00 10 01.9","+28 12 36",3,31.7,25.5,24.43,0.261,0.075,83,44,,1.944,0.059,13.02,0.04,12.87,-21.64,0.06,1.00,43.4,7838,6995,309,884,6813,297,1066,40702,H,,,,"00 10 17.0","+28 12 23",7879,2,3,5,4836,389,3043,5017,381,2862,
709,UGC00091,J001003.3+280859,91,499-058,"00 10 03.3","+28 08 59",3,34.1,26.4,24.67,0.722,0.031,113,2,*,,,13.58,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,ESO241-021,J001020.0-462510,20117,"241 G 21","00 10 19.9","-46 25 05",5,60.5,41.2,25.70,0.711,0.036,55,3,,2.673,0.021,12.06,0.04,11.69,-22.15,0.08,1.12,74.9,5793,-152,1110,5945,-415,1398,6208,,O,,,,,,,,,,,,,,,,
731,UGC00095,J001026.3+285917,95,499-062,"00 10 26.4","+28 59 16",5,37.9,26.6,23.96,0.766,0.030,7,1,,2.640,0.005,13.84,0.03,13.26,-20.90,0.10,1.00,78.7,6705,-4175,1934,10880,-2669,1797,9374,,H,,,,,,,,,,,,,,,,
732,NGC0026,J001025.9+254954,94,"N  26","00 10 26.0","+25 49 55",3,48.8,36.9,24.57,0.349,0.060,102,3,,2.567,0.030,12.23,0.04,12.05,-21.09,0.07,1.00,50.8,4253,-249,961,4471,-782,765,5004,40232,H,,,,"00 10 20.2","+26 06 51",4222,1,5,7,-64,438,4286,-682,420,4904,
742,NGC0027,J001032.8+285946,96,"N  27","00 10 32.7","+28 59 47",3,40.5,27.5,24.13,0.560,0.035,118,2,,2.675,0.011,12.52,0.03,12.26,-22.15,0.07,1.12,66.4,7517,619,1201,6898,928,1401,6589,,H,,,,,,,,,,,,,,,,
759,NGC0019,J001040.9+325859,98,"N  21","00 10 40.8","+32 58 57",3,39.5,25.6,23.37,0.439,0.061,41,7,,2.544,0.022,12.51,0.02,12.29,-20.99,0.06,1.00,57.7,4466,-136,938,4618,-598,721,5080,40218,H,,,,"00 10 14.3","+33 14 22",4482,1,4,5,-404,483,4886,-733,471,5215,
767,NGC0021,J001046.9+332110,100,"N  29","00 10 47.0","+33 21 09",4,46.4,33.9,25.10,0.503,0.061,148,6,,2.625,0.018,12.27,0.03,12.01,-21.27,0.06,1.00,61.1,4444,-1324,1087,5806,-1238,1061,5720,40218,H,,,,"00 10 14.3","+33 14 22",4482,1,4,5,-404,483,4886,-733,471,5215,
789,ESO349-038,J001112.6-333443,20127,"349 G 38","00 11 12.7","-33 34 48",3,54.5,35.8,22.97,0.583,0.034,57,2,,2.734,0.015,12.16,0.03,11.94,-22.48,0.06,1.24,68.1,7574,360,1219,7214,13,1289,7561,,O,,,,,,,,,,,,,,,,
791,UGC00105,J001114.2+285423,105,499-071,"00 11 14.3","+28 54 23",0,42.8,29.6,23.18,0.130,0.089,48,10,,2.643,0.146,12.42,0.03,12.32,-22.14,0.04,1.12,30.2,7713,1902,3398,5811,1508,2108,6205,,H,,,,,,,,,,,,,,,,
798,NGC0036,J001122.3+062321,106,"N  36","00 11 22.4","+06 23 21",3,71.8,60.5,24.47,0.492,0.033,21,3,,2.686,0.010,11.63,0.04,11.36,-22.43,0.07,1.22,61.5,5672,935,813,4737,938,929,4734,,H,,,,,,,,,,,,,,,,
800,ESO293-045,J001124.8-412353,20130,"293 G 45","00 11 24.1","-41 23 48",5,41.2,40.8,25.29,0.769,0.026,137,3,*,,,14.24,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,UGC00108,J001145.1+282956,108,499-072,"00 11 45.1","+28 29 56",3,29.7,21.5,23.34,0.493,0.008,53,4,,2.652,0.007,13.39,0.03,13.16,-21.35,0.06,1.00,61.6,7709,-1843,1684,9722,-913,1709,8792,40702,H,,,,"00 10 17.0","+28 12 23",7879,2,3,5,4836,389,3043,5017,381,2862,
833,UGC00111,J001208.9+120245,111,433-033,"00 12 09.0","+12 02 42",3,30.5,25.0,23.89,0.631,0.032,72,2,,2.387,0.008,14.02,0.03,13.48,-20.43,0.10,1.00,71.5,5996,1152,1034,4844,888,1147,5108,,H,,,,,,,,,,,,,,,,
847,UGC00113,J001215.7+221919,113,478-041,"00 12 15.7","+22 19 16",1,33.1,22.4,24.20,0.561,0.069,106,1,,2.705,0.017,12.79,0.03,12.49,-21.85,0.07,1.02,66.5,7288,-353,1344,7641,245,1405,7043,,H,,,,,,,,,,,,,,,,
963,UGC00139,J001431.8-004416,139,382-035,"00 14 31.8","-00 44 16",5,45.9,41.6,24.92,0.570,0.036,82,6,,2.477,0.011,12.93,0.05,12.53,-20.27,0.10,0.99,65.6,3604,-728,880,4332,-1155,1009,4759,,H,,,,,,,,,,,,,,,,
978,NGC0052,J001440.1+183455,140,"N  52","00 14 40.2","+18 34 55",3,69.2,45.1,23.85,0.742,0.092,125,2,,2.747,0.011,11.95,0.02,11.51,-22.02,0.09,1.08,80.4,5051,-1136,1027,6170,-950,1012,5984,40231,H,,,,"00 18 16.8","+17 42 16",5034,2,1,6,-1136,1027,6170,-950,1011,5984,
1051,UGC00148,J001550.9+160522,148,456-048,"00 15 51.4","+16 05 22",3,57.2,38.2,22.94,0.759,0.032,97,1,,2.479,0.007,12.55,0.02,11.97,-20.98,0.11,1.00,82.1,3858,619,652,3239,505,834,3353,,H,,,,,,,,,,,,,,,,
1056,UGC00149,J001557.5+140432,149,433-039,"00 15 57.5","+14 04 34",1,25.0,19.8,24.56,0.644,0.028,61,1,,2.455,0.007,14.14,0.03,13.67,-19.90,0.10,0.83,72.5,5122,-801,1206,5923,-764,1044,5886,,H,,,,,,,,,,,,,,,,
1089,UGC00152,J001628.4+295526,152,499-093,"00 16 28.5","+29 55 25",5,33.7,41.5,23.55,0.670,0.011,77,3,,2.350,0.009,14.24,0.08,13.75,-19.55,0.12,0.69,72.2,4535,-268,1065,4815,-711,871,5258,40363,H,,,,"00 13 01.3","+30 41 14",4547,2,1,4,-267,1065,4814,-711,871,5258,
1106,UGC00155,J001644.2+070434,155,408-044,"00 16 44.2","+07 04 35",3,46.3,27.2,23.51,0.740,0.027,3,1,,2.593,0.005,12.16,0.01,11.72,-21.08,0.09,1.00,80.2,3613,-568,764,4181,-713,861,4326,,H,,,,,,,,,,,,,,,,
1123,UGC00158,J001705.1+420943,158,534-009,"00 17 05.1","+42 09 40",3,44.6,37.8,24.52,0.714,0.024,176,2,,2.515,0.034,13.44,0.03,12.92,-20.49,0.10,1.00,78.0,4767,-860,1302,5627,-456,928,5223,,H,,,,,,,,,,,,,,,,
1130,ESO539-005,J001710.2-191805,20206,"539 G  5","00 17 09.0","-19 18 02",3,48.9,35.4,24.21,0.342,0.023,38,1,,2.515,0.019,11.88,0.04,11.72,-20.58,0.08,1.00,50.2,2865,-379,665,3244,-361,656,3226,,O,,,,,,,,,,,,,,,,
1139,UGC00163,J001719.3+064323,163,408-045,"00 17 19.2","+06 43 20",5,22.7,24.1,23.62,0.319,0.035,103,13,,2.420,0.023,14.21,0.06,14.00,-19.67,0.10,0.74,47.6,5300,-1551,1545,6920,-788,1552,6157,40335,H,,,,"00 17 41.7","+07 00 00",5369,2,2,5,-197,845,5566,-49,834,5418,
1144,UGC00164,J001723.8+180503,164,456-053,"00 17 23.8","+18 05 02",4,47.5,40.5,24.30,0.647,0.089,59,6,*,,,13.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,NGC0064,J001730.4-064929,400180,"N  64","00 17 30.3","-06 49 29",4,42.7,28.9,24.56,0.409,0.124,38,9,,2.660,0.049,12.42,0.03,12.21,-22.03,0.06,1.08,54.4,6967,-240,1794,7207,1011,1421,5956,,H,,,,,,,,,,,,,,,,
1154,UGC00166,J001735.9+301218,166,499-100,"00 17 35.8","+30 12 17",5,42.2,38.6,24.23,0.554,0.022,17,5,,2.425,0.011,13.28,0.08,12.85,-20.43,0.12,1.00,64.5,4505,340,885,4165,-346,677,4851,,H,,,,,,,,,,,,,,,,
1158,UGC00165,J001741.8+244002,165,478-051,"00 17 41.8","+24 40 03",2,30.1,22.9,23.73,0.672,0.065,38,1,,2.509,0.014,13.66,0.02,13.28,-20.39,0.09,1.00,74.6,5709,-526,1183,5893,-628,1221,5995,40724,H,,,,"00 21 22.8","+23 01 00",5367,2,2,6,-23,795,5390,-312,778,5679,
1160,NGC0063,J001745.5+112701,167,"N  63","00 17 45.5","+11 27 01",3,51.4,31.4,23.59,0.409,0.039,103,1,,2.360,0.018,11.23,0.02,10.85,-18.64,0.09,0.50,55.4,803,-541,299,1329,-522,364,1310,30013,H,,,,"00 17 45.4","+11 26 57",788,4,1,3,-541,299,1329,-522,364,1310,1213
1170,PGC001170,J001759.8+243347,100146,478-052,"00 17 59.7","+24 33 45",4,32.3,34.7,22.74,0.293,0.052,59,5,,2.515,0.037,13.12,0.06,12.93,-20.78,0.09,1.00,45.5,5460,-480,1403,5940,-585,1339,6045,,H,,,,,,,,,,,,,,,,
1196,PGC001196,J001825.2+183057,100151,456-055,"00 18 25.2","+18 31 02",5,21.3,18.1,23.34,0.272,0.041,35,7,,2.358,0.030,14.02,0.04,13.79,-19.67,0.09,0.74,43.7,4878,-147,1215,5025,-699,1173,5577,,H,,,,,,,,,,,,,,,,
1231,UGC00179,J001900.6+232834,179,478-053,"00 19 00.6","+23 28 34",5,28.0,26.5,24.33,0.476,0.025,3,2,,2.362,0.011,13.87,0.09,13.50,-19.61,0.12,0.71,59.2,4122,-307,987,4471,-936,891,5100,40730,H,,,,"00 22 11.9","+24 00 28",4164,1,3,3,-355,560,4519,-934,492,5098,
1236,NGC0066,J001905.0-225611,20224,"N  66","00 19 04.8","-22 55 20",3,42.5,31.6,24.05,0.517,0.047,32,4,,2.641,0.020,12.40,0.03,12.20,-22.14,0.06,1.12,63.3,7299,1252,1139,6047,529,1548,6770,,O,,,,,,,,,,,,,,,,
