pgc,Name,J2000,UGC/AGC,Alt_Name,RAJ,DeJ,Ty,r23.5,r83L,mu_out,ell,e_ell,PA,e_PA,tf,Wtf,e_Wtf,m_obs,e_m,m_c,M_I,e_MI,gamma,inc,Vcmb,Vpec,e_Vp,Dist,Vp_b,e_Vpb,D_bias,Gp_ID,O/H,Theta,Cluster,mem,RAJg,DeJg,Vcmbg,e_Vg,Ng,Na,Vpg,e_Vpg,Dg,Vpg_b,e_Vpgb,Dg_b,Int_ID
75191,PGC075191,J043016.2-532922,440574,D0428100,"04 30 17.3","-53 29 23",3,16.9,13.4,23.92,0.567,0.028,152,2,,2.476,0.021,14.87,0.04,14.59,-21.01,0.09,1.00,66.9,12892,2316,2257,10576,1759,2051,11133,,O,,,,,,,,,,,,,,,,
75217,PGC075217,J043323.4-132019,440535,A496-29,"04 33 23.2","-13 20 18",5,21.5,16.0,23.04,0.700,0.044,28,2,,2.438,0.019,15.35,0.05,14.62,-20.38,0.12,1.00,74.2,10144,,,,,,,,O,6.5,A496,c,"04 33 37.1","-13 14 46",9809,,9,9,-84,497,9893,15,479,9794,2181
75218,PGC075218,J043323.9-133102,440536,A496-17,"04 33 23.8","-13 31 00",3,,,,,,,,,2.530,0.010,15.31,,14.34,-20.69,0.14,1.00,90.0,10176,,,,,,,,O,16.6,A496,c,"04 33 37.1","-13 14 46",9809,,9,9,-84,497,9893,15,479,9794,2181
75289,PGC075289,J051547.6+064641,150063,421-013,"05 15 46.9","+06 46 36",5,28.2,23.2,24.09,0.770,0.016,102,1,,2.542,0.004,14.69,0.03,13.80,-20.82,0.13,1.00,79.0,8197,-1474,1902,9769,-774,1828,9069,41085,H,,,,"05 16 47.8","+06 44 09",8295,2,2,4,-1373,1226,9668,-418,1130,8713,
75333,PGC075333,J051735.4+063541,150118,A539-073,"05 17 35.4","+06 35 41",3,40.5,40.1,23.06,0.734,0.021,102,1,*,,,13.84,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75360,PGC075360,J054437.4-255335,450140,A548-73,"05 44 37.3","-25 53 33",4,14.8,11.0,24.41,0.276,0.101,24,12,,2.362,0.076,14.47,0.03,14.30,-21.10,0.08,1.00,44.1,11783,5413,2257,6370,3984,2524,7799,,O,,,,,,,,,,,,,,,,
75411,PGC075411,J054616.9-251611,450141,A548-202,"05 46 16.8","-25 16 13",3,14.5,10.4,23.97,0.382,0.027,166,1,,2.615,0.022,14.70,0.04,14.54,-21.01,0.07,1.00,53.4,12637,-3545,3147,16182,-1273,3241,13910,,O,,,,,,,,,,,,,,,,
75450,PGC075450,J054819.5-253808,450143,A548-113,"05 48 19.6","-25 38 06",4,12.4,8.9,24.11,0.270,0.052,5,9,,2.558,0.038,14.59,0.04,14.43,-21.02,0.07,1.00,43.6,12076,-1663,3197,13739,467,2749,11609,,O,,,,,,,,,,,,,,,,
75454,PGC075454,J054836.5-251728,450144,A548-192,"05 48 36.4","-25 17 29",5,10.8,8.8,24.90,0.218,0.036,37,6,*,,,15.36,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75472,PGC075472,J055000.8-260013,450145,A548-24,"05 50 00.8","-26 00 13",5,9.5,16.1,24.12,0.435,0.069,48,3,*,,,16.40,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75482,PGC075482,J055903.7-401136,450147,D0559-40,"05 59 03.1","-40 11 40",5,12.0,10.8,24.11,0.426,0.038,73,2,,2.442,0.028,15.55,0.05,15.21,-20.43,0.10,1.00,55.7,13095,193,2946,12902,236,2713,12859,,O,,,,,,,,,,,,,,,,
75519,PGC075519,J060845.2-334632,460090,D0608-29,"06 08 45.3","-33 46 28",5,11.2,8.7,24.92,0.439,0.018,58,3,,2.373,0.027,15.53,0.04,15.24,-20.00,0.09,0.87,56.6,10970,723,2409,10247,7,2271,10963,,O,,,,,,,,,,,,,,,,
75531,PGC075531,J060954.4-334056,460074,,"06 09 54.2","-33 40 54",20,33.1,27.3,24.72,0.372,0.081,105,57,*,,,13.14,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75533,PGC075533,J061016.5-335534,460094,D0608-11,"06 10 16.4","-33 55 34",5,11.0,14.0,24.49,0.128,0.062,94,23,*,,,15.67,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75554,PGC075554,J061204.9-330420,460095,D0608116,"06 12 05.2","-33 04 18",3,12.4,11.3,23.86,0.582,0.029,142,1,,2.288,0.060,15.96,0.04,15.63,-19.64,0.08,0.72,68.0,11129,1721,2982,9408,370,2756,10759,,O,,,,,,,,,,,,,,,,
75566,PGC075566,J061249.8-341508,460092,D0608-02,"06 12 50.3","-34 15 04",6,25.5,21.4,23.78,0.844,0.021,85,0,,2.350,0.033,15.46,0.03,14.69,-20.08,0.13,0.91,90.0,8880,1514,1849,7366,194,1862,8686,,O,,,,,,,,,,,,,,,,
82283,AGC490240,J090704.3-091452,490240,A754-140,"09 07 04.7","-09 14 54",5,,,,,,,,,2.255,0.060,15.70,,15.33,-20.84,0.07,1.00,64.4,16532,9714,2199,6885,9892,2702,6707,754,O,,,,"09 08 50.0","-09 38 11",16599,23,3,3,3383,1657,13216,3531,1951,13068,2381
82289,2MASXJ09072193,J090721.9-091642,490243,A754-139,"09 07 21.8","-09 16 42",3,,,,,,,,,2.603,0.009,15.75,,15.20,-20.96,0.10,1.00,83.6,16461,-4349,3875,20948,-3553,4733,20152,754,O,,,,"09 08 50.0","-09 38 11",16599,23,3,3,3383,1657,13216,3531,1951,13068,2381
82378,PGC082378,J092203.0+335152,190805,,"09 22 02.9","+33 51 50",20,,,,,,,,,2.356,0.045,15.31,,14.96,-19.36,0.08,0.61,66.9,7463,,,,,,,,O,28.0,A779,c,"09 19 50.8","+33 46 17",7211,,13,17,-599,302,7810,-582,323,7793,2362
82600,2MASXJ10120843,J101208.4-012508,500336,A957-6,"10 12 08.4","-01 25 06",3,,,,,,,,,2.659,0.039,14.42,,14.10,-21.62,0.06,1.00,71.2,13595,-1540,3364,15135,127,3359,13468,,O,,,,,,,,,,,,,,,,
82647,AGC500344,J101518.9-012608,500344,,"10 15 18.5","-01 26 11",6,,,,,,,,,2.554,0.016,15.18,,14.72,-21.59,0.08,1.00,77.6,17682,2411,2997,15271,3808,3063,13874,,O,,,,,,,,,,,,,,,,
82650,2MASXJ10153570,J101535.7-010946,500345,,"10 15 35.6","-01 09 45",3,,,,,,,,,2.682,0.019,14.62,,14.40,-21.63,0.05,1.00,59.9,15686,-3034,3391,18720,-413,3488,16099,,O,,,,,,,,,,,,,,,,
82667,PGC082667,J101652.8-012306,500392,n95,"10 16 52.7","-01 23 05",0,14.7,10.7,23.29,0.213,0.032,69,8,,2.780,0.036,14.30,0.04,14.21,-22.30,0.06,1.18,39.0,19369,-1585,4239,20954,1940,4791,17429,,O,,,,,,,,,,,,,,,,
82920,PGC082920,J102417.5-054040,500324,FGC1062,"10 24 17.6","-05 40 41",5,40.4,29.6,23.43,0.820,0.016,18,1,,2.398,0.024,14.46,0.03,13.72,-20.28,0.13,0.99,82.8,6263,634,1301,5629,722,1319,5541,,O,,,,,,,,,,,,,,,,
83401,2MASXJ10581762,J105817.6+010831,200742,A1139-08,"10 58 17.5","+01 08 29",5,,,,,,,,,2.471,0.017,15.02,,14.54,-20.97,0.09,1.00,72.2,12379,1824,2203,10555,1671,2291,10708,,O,,,,,,,,,,,,,,,,
83402,2MASXJ10581962,J105819.6+013336,200743,A1139-28,"10 58 19.5","+01 33 36",3,,,,,,,,,2.531,0.016,15.24,,14.87,-20.66,0.08,1.00,76.9,12493,-1901,2861,14394,-450,2795,12943,,O,,,,,,,,,,,,,,,,
