expression,description,parameters,r2,rmse,complexity,method
a + b * log_v,Linear TF (log v),"{'a': -13.50682972374218, 'b': -4.009997317215774}",0.6740607358225235,0.8588209826901555,4,template
a - b * log_v + c * log_v * log_v,TF + velocity²,"{'a': -16.24000207921409, 'b': 1.625043389387111, 'c': -0.516169931227678}",0.6621698451660145,0.8425997071973461,7,template
a - b * log_v + c * log_D,TF + distance,"{'a': -13.533161561686716, 'b': 4.025376760967308, 'c': 0.045897425791063276}",0.6121304810846859,0.9097813752763982,6,template
a - b * log_v,Classic TF,"{'a': -13.281897123886642, 'b': 4.108429347895535}",0.5373191446161218,0.8923034924514136,3,template
