expression,description,complexity,loss,score,r2,rmse,method
-22.76921548076324,Enhanced PySR Discovery #1,1,2.2106123006300975,0.0,0.9544454661989392,0.31077851319101585,enhanced_pysr
(((log_v + 2.916135087635572) * -4.05847174340781) - -0.00023935388205177134) + (type_num * -0.5139923217045955),Enhanced PySR Discovery #2,11,0.0926328262501865,5.511011963552921e-07,0.9544454661989392,0.31077851319101585,enhanced_pysr
((log_v + 1.9616630172071654) * -4.047307861837665) + (log(type_num + 4.218752488475849) * -2.7047561206933484),Enhanced PySR Discovery #3,12,0.0923913463694026,0.0026102537249454785,0.9544454661989392,0.31077851319101585,enhanced_pysr
((log_v + 3.0401320120143156) * -3.968526475598631) - (type_num * (log(log_M) / 4.68843335794531)),Enhanced PySR Discovery #4,13,0.0921087028781704,0.0030638876628198658,0.9544454661989392,0.31077851319101585,enhanced_pysr
((log_v + 2.6834382769819443) * -4.0890321097289775) - type_num,Enhanced PySR Discovery #5,7,0.1947081754077568,0.02840442900774776,0.9544454661989392,0.31077851319101585,enhanced_pysr
((log_v + 2.916135087635572) * -4.05847174340781) + (type_num * -0.5139923217045955),Enhanced PySR Discovery #6,9,0.0926329283503655,0.37142861254293147,0.9544454661989392,0.31077851319101585,enhanced_pysr
-11.71655432518132 - log_M,Enhanced PySR Discovery #7,3,0.8719314396346439,0.4651570093504603,0.9544454661989392,0.31077851319101585,enhanced_pysr
(log_v + 3.185119967344324) * -4.012408513233412,Enhanced PySR Discovery #8,5,0.2060895450972852,0.721200018633001,0.9544454661989392,0.31077851319101585,enhanced_pysr
